-21386719,-21651508,
3112485,3332498,
-21620865,-22160821,
-2266599,-1360191,
-21983294,-22195262,
25181770,25495260,
-16167153,-17517384,
-27831519,-27862951,
21914968,22197563,
12358460,12609568,
-16242527,-16286181,
2755735,3350375,
-6159735,-6147614,
-43838017,-44453544,
3199557,5421869,
69333257,71144319,
3664473,3137966,
30831946,30882455,
-11579742,-11563787,
8701491,9018036,
8973806,9786701,
9853795,7521590,
-115301003,-116520153,
15730890,18080142,
42697885,44677366,
50548285,50058735,
-59012628,-60029222,
-26971273,-26694206,
21520818,20522687,
-1545146,-1959537,
10716038,11325971,
27965112,28164053,
26481615,26177763,
9941210,10911103,
4317860,5314978,
32334813,32830492,
-33635116,-34376374,
-45422221,-48022354,
-66497458,-65062475,
27169746,28787550,
17772671,17034782,
-27688025,-26720741,
-9898855,-9289554,
9349431,12524280,
10875409,10310795,
31711930,32046068,
50234556,51049122,
-53947273,-56962803,
-89010441,-89381171,
59245207,61488314,
39368535,38583852,
-52814104,-52839573,
-28869000,-28878201,
-3107262,-2925373,
21326251,17925542,
-62200785,-63741998,
27625054,23205154,
-37148377,-38189334,
-27182240,-26384471,
-15573363,-17322589,
40326937,39903460,
15551530,13030562,
52164725,52972460,
79217866,78281850,
-3203425,-3978069,
23146576,23200983,
15532187,15208245,
-6989109,-6561952,
13191799,11099795,
-1945780,-831746,
1798868,1520123,
-7581819,-6856176,
15868239,14640064,
15407151,15787476,
8852501,8304981,
-27054341,-28809800,
35306930,32386061,
2048107,3606683,
-7717667,-7795800,
11844834,12869368,
