1814155365,1131687408,15771715,20064151,62252716,-19692302,643754,3840279,-66222968,-17615756,3048394,980791,-30338896,37276676,6451468,4869897,15534724,-17740238,1210709,-2470290,28210942,1988171,-9131959,-3397848,-2909807,2706897,28164275,4817862,-3524524,-6829700,-17437262,-4688130,8035347,6761723,-160712,-3435887,199056,2875198,11546861,7933658,10980654,-2943095,2687604,-1045393,-12629289,7313368,-7857944,-5485673,-8408605,-1901041,-5446326,-1365176,532821,2822375,1268584,1196564,-1776699,-2193618,-2949435,-1122482,1960292,2299913,-2033865,-1988687,-531174,791865,-821081,-1568738,190933,-1110941,651281,1934949,422746,506723,1746299,-478633,34635,952252,-1605522,-141606,
-1108602419,1804664778,18020541,-16041185,-199351440,-84825480,-786572,4060515,73212470,74936951,1650712,1070477,55989822,-38070261,-11955600,-29613432,-52571949,22991022,-1933377,4943488,-75229509,-8420336,32574318,9648816,4428035,-8735530,-56207395,-8785460,6526113,20888568,30779040,11112159,-18212638,-12807639,388602,5842702,1734703,-6344923,-19451495,-18410315,-29304433,8580613,-7227879,4629701,25223561,-18210363,14360705,8636568,18051851,5321102,13088932,2534456,328242,-6656829,-5448457,-6492478,3963123,4020953,7894963,4441777,-4360881,-2539508,2161919,5361785,3230492,-1892369,250453,3243202,-820023,2112012,-871797,-3919040,600001,-959059,-2242608,1953409,-1243982,-988494,2190697,980435,
-16559477,-20828171,1811832359,1134454240,-6709378,-9294359,65619097,16122642,1090232,3276735,60945964,-13490434,408440,-2086736,31335238,-40003980,16060245,-4512602,-18725186,1396979,-8405831,23835590,-3892603,7814204,-26826240,10089057,-6047754,8114184,-2463660,1036760,1637066,804087,-8459118,14925562,-361291,2148276,-3335477,-14378510,19136386,-13026821,1897269,-4820790,-6436149,9864827,833059,-86040,-639548,15547334,-6739804,9817057,-2434245,3374651,6883558,-2924153,5428005,-4937971,-5839762,4170951,-3691502,4801361,2116685,-2907036,-3294833,1320889,-2240627,-1381722,-2938119,1031694,1643322,-591733,-2792065,124071,881250,1636730,-1961865,-95033,-422145,1872011,1281083,84884,
-21398315,16047168,-1110776388,1803824227,7965328,2246534,-187862783,80598471,-4023711,-3205408,-72913848,69239667,349840,9548749,-65873777,37094306,-17768533,4032688,47620532,-8832265,11081662,-64050404,19869261,-24645373,56753271,-33082085,13575495,-15178116,-73734,1439733,-4624169,147959,16891585,-29431814,-775866,-3654595,6396820,27828756,-34748422,24999545,-8563023,17739633,17402663,-14353887,1011256,896930,3713764,-29484318,13795134,-22877556,6520107,-6772957,-15950634,8524388,-12523381,6823834,12996270,-10389117,5838526,-10088283,-6140380,3750003,8482273,-5543732,4219043,870204,6657034,-2953801,-3353282,1202507,5169837,-1310119,-2038043,-2163742,3757622,2353518,1634063,-2543493,-2152621,1079223,
-105495925,52977166,7354633,-11239025,1682554482,-1285533157,-45763639,7897079,76912883,-19319208,2765144,7986268,145381241,6072187,833632,-38646354,-78811195,38261980,-1494907,2837803,-50586932,-3620395,56275212,26242961,8414848,-5520787,-43521353,-6677840,4796714,20396590,27861523,5092108,-19813897,-12598500,94340,1247505,4604002,-4955573,-9301636,-10096180,-30183424,6188099,-10553117,5765654,24433127,-15347194,14675353,3540262,11709722,9024997,11570315,64109,-1404954,-5479011,-2972201,-7658200,5190170,3019855,5033562,4662806,-6000428,-3431345,-306015,2086092,3907746,-3376916,-1824132,2218402,-3591797,987680,-3615668,-3467891,-637389,-1599981,-1560151,453527,-2095840,-1538912,710390,436520,
-55781269,135357976,15128508,2248735,1197159758,1659254900,-14679427,-47396425,417188223,42446784,-5878082,-3617044,213346300,-144645699,-16073058,-37495086,-91355474,85239122,-8108898,9980636,-115175003,-2835159,58241138,27569622,10460265,-7762984,-107241642,-17131920,13262992,31421162,67575568,16469488,-34979447,-24913249,440591,11086342,1027808,-12675958,-37060182,-29850015,-47108361,10426511,-14198826,7214416,50669344,-27889959,31925493,19530925,26916324,11399283,21854035,3793766,-962607,-11512488,-4098283,-7303787,6852472,8536608,10415023,6076318,-8406827,-8930309,5119894,6345091,2935804,-4202519,961911,5661004,-2583439,3268158,-4609237,-7146093,-1882786,-2224167,-6000610,999013,-1315913,-3595478,4814376,371496,
-2098866,-1373573,-103005933,45900639,52431010,11157349,1684932342,1279353571,13894417,28632621,-64619285,-4605640,-8096702,246513,-175792829,13952061,4755137,4948369,50169904,-4079503,-5564432,-46646645,22622211,-54367627,36428303,-44487875,5865713,-11768533,-2029298,5081026,-3296952,3505138,16584327,-29044103,-1915224,-2102058,5776372,27982013,-35400637,7928596,-7961393,22903534,25747760,-11236946,286741,1363553,6500593,-24313367,7172695,-18525811,10506085,-8618777,-13022241,4429562,-13208022,6202154,9506498,-10285710,5373186,-5862381,-7745681,2916483,4573593,-6626459,6111732,-2167901,3824460,-5034123,-2507071,4347762,4616622,749062,-2061989,-2968835,2313855,1845677,2673110,-2220988,-270790,1251563,
-3453846,-5212718,54913225,-124022700,-5341435,51760425,-1191957536,1663785873,-17265975,-1747516,399408833,-18173365,1658630,-2483554,232717607,-168019108,62534433,-23267217,-85881613,4161355,-22326708,95752443,-22797337,52660324,-98309166,55088045,-16785122,30050476,-6734243,216089,4174574,553945,-32238237,59810266,-1152546,7371488,-12980207,-56035304,75056012,-39890502,10124804,-25540707,-32006274,34224377,2021488,-104836,-5993978,58537456,-23132917,33584168,-11829097,14100719,26499236,-9621840,21091707,-17195672,-21006752,16073427,-13256408,15367859,9838800,-9600147,-10148881,6354998,-10012364,-2517269,-9243025,5529034,5581112,-4671868,-9970588,-704687,3343130,6481123,-6044894,-585462,-2649231,6545617,3113088,-189745,
25267114,33259226,4563865,1645946,-193681848,-175922233,-1509403,34612067,1432444903,-1534896173,-48595352,-20162264,-75103867,-17271827,17697486,89471762,127226427,7149375,606129,-5469417,119250923,17980560,-64530653,-16624055,-2746069,14665859,54705163,7113659,-5081892,-28961907,-25771025,-15296652,19564976,10739350,-743666,-5686053,-3699322,5503125,13028674,21600875,36441955,-14612547,9414265,-9800437,-28166809,19719980,-13644518,-6258883,-22742183,-6047834,-11527527,-4130832,-917245,5782214,8274377,9606837,-2330463,-1037718,-8071564,-6743804,4869402,-164928,366475,-6701595,-5467505,1112079,1476547,-3278096,886157,-2041224,-418977,3407232,-2614522,688441,563262,-2941242,1942087,-256791,-1337259,-1614110,
72886443,-39389770,-7516451,5566193,-48193828,-184259088,-37547151,-4956378,1380238869,1400823003,10566519,-55408982,-662894873,34336564,-691748,107920020,238474978,-141041918,5256108,-8804615,135596813,10916132,-121018081,-59274770,-21546591,13886060,123208189,19307738,-13756611,-45653060,-73977706,-12337202,48969974,32341699,-535485,-4512591,-10127205,14562028,29451620,24201473,68357009,-11263162,24286972,-8781973,-51887323,38853819,-29365352,-10455655,-30721527,-19764336,-25367772,-305447,4213117,12376536,5112864,16018114,-13266282,-8761319,-10860852,-7861241,11300692,7810865,-1230397,-5140342,-7206231,6832799,2602455,-4692104,6469012,-2475604,6778626,7301309,1256115,3079897,3737923,-1465599,3777702,2867403,-2046699,-1041761,
-2169041,-3402567,-25225948,-30602953,31825,6657796,169726011,-189421158,57666081,-23303292,1391949709,1577557090,-42773121,53090192,-136702371,-48801019,22605410,-15704992,74442731,-18674515,6520005,-89699324,37110196,-50424985,54449035,-43438649,21025893,-13808746,-4954903,4130679,-10148560,2476273,18453059,-25035264,-3053811,-2683098,5238034,27123382,-29475753,21478584,-9072633,22482568,20057001,-5635491,1386030,3656575,4932593,-23832952,9471817,-25037909,7684822,-5787859,-12842181,9231530,-12787697,1847372,9673612,-12141155,2289265,-7491915,-7388972,1336555,7509675,-7575275,2004950,-1426983,6239124,-3321085,-2061310,266050,3989620,-2480125,-1945688,100630,2779269,3663415,1573496,-553958,-1794949,1849997,
591400,-442621,66062034,-41331651,-12537220,2796653,-40857742,161709284,29027697,62598224,-1442815958,1377594247,36164320,-1570670,638686730,-141158946,25264957,-25309623,-120683353,3945751,533606,101690997,-39962568,104892905,-107395900,77317288,-14797740,32065047,-1357706,-6043794,5355507,-4054434,-37490187,67827034,4731259,5333438,-12755874,-60549811,81850388,-31627509,15081285,-40511887,-47782292,30998377,2266313,-523424,-8591490,49316988,-17036114,36662689,-19286371,18210885,27505069,-7737093,26050818,-16020107,-16989850,18465067,-14189599,11473050,11881974,-8502391,-10009360,10505735,-11486407,2354870,-7712123,8818103,4879171,-7463062,-8178526,-1444496,4180151,6009611,-5145045,-3030110,-4218234,4492259,1544166,-2002504,
-14065756,-10137915,2587174,-3119138,-110548314,36585833,23215986,1388372,299731868,243957463,44089032,-61175416,1243268400,1643032845,122729779,63869334,1522537,-15964558,19406858,-21080692,246134842,5404665,-21115699,13923725,14994146,6754882,81032680,11431716,-12508230,-39292916,-41850610,-31702270,16586072,9779907,419168,-18571895,7591247,7925394,36407610,47972198,31906859,-17518079,1691806,-12145417,-46887652,14490617,-30118655,-27244151,-16727976,2725435,-18806017,-9129677,-10648061,8557460,9402525,1885022,3944687,-6766135,-13234639,-6430943,1448929,3387188,-5987804,-9029079,686511,257324,-3677554,-4972640,-3052333,-2759211,57251,4710427,378902,277463,5166269,-1435124,40152,1910084,-4451074,-478770,
-43565733,-5640813,-1722760,-7177304,121140136,132507116,5143136,-19424802,-108102940,-270734550,-64859558,-42202121,-1372645623,1197522350,-22949976,-523272886,-709731997,-297224,-8981206,15445982,-354827857,-38268410,260877260,91200992,8750285,-34853315,-149735807,-16327473,11271886,73629411,89374122,31876757,-63164633,-29836504,1980042,12455407,10996646,-16442897,-21701708,-50530497,-95677753,35272800,-31004514,30961053,84433934,-47526599,43728395,19301654,58436451,21318865,23397145,12823021,-1528987,-12660967,-14199654,-20492213,2922966,1208039,15879321,18271962,-15105139,-4087402,-1799794,13341556,11579188,-4013970,-3897114,8569300,-3315323,4201002,-2147018,-9270326,3742086,-1700272,-3757844,4673242,-4074004,-1631475,4553053,2305374,
-4372797,5168469,17085613,14783106,-2738408,4170568,129071236,46063457,-8605939,14887732,322944775,-143086729,-151195184,-82643224,1411445854,1220900823,-802450499,134047327,147364486,-35093655,72521743,-247880193,60297515,68522764,183714676,-74856391,6547996,-30593525,-1446228,134862,11828057,-9574869,11564732,-56179785,12287481,-11471692,15914667,35086410,-46446675,71222549,-32820426,27605879,11582620,-19941985,8583026,-9693942,5897589,-71828553,49527996,-20273116,-6591381,-1813677,-33710589,19427830,-12681175,10841024,26177248,-7797997,13243010,-18455613,-3167685,7245908,13924062,437059,6637858,6764439,9569780,-385748,-5818006,1223437,7175045,-1548539,-1962663,-4866084,4783084,958358,958876,-5196609,-3011341,381721,
2178865,10473551,38529540,8344704,13367854,-8269407,-140582039,124581189,-79759938,9391001,-153297289,259206792,-211673873,257412262,-959970834,1271347125,-108507633,884711313,-492285282,140541464,-124676076,541121086,-235779349,204105175,-182567283,242078909,-160840175,22525041,38542657,-8465375,73649162,2638960,-75609178,72039575,-4049939,23147015,-26925479,-116559726,61416063,-63575520,16500036,-89221794,-82383631,11753527,4309110,-27399726,-15136044,111645599,-36317540,88779742,-4506619,3048549,33871219,-40932771,39888369,-8624491,-32555337,39550953,-2648102,29563985,19262323,-7510055,-18012099,17430603,-8129650,-4130719,-16800310,8152154,6821794,-1961800,-17767336,1857285,3279654,3028681,-9503288,-5188610,-5372886,5004159,4784807,-2336823,
-1794803,12007625,-19266841,-556580,20971930,-6332874,61751951,-58386802,-88168848,2659237,77260101,-110208462,-239767403,204583582,596772955,-315067873,1076039070,1596405389,238106213,-42079924,-104386372,-265790774,10390704,-156683235,99336299,-122929827,-89564800,-45588610,8721261,35630957,32468274,26496946,10548299,-70069511,-738831,4203422,10532891,43673499,-104113654,-4510025,-43316357,41435585,34596063,-20068999,25120097,-15564877,23149987,-31483111,29601984,-37648329,32141178,-13014532,-15001479,4480539,-18568637,805192,31843706,-2173733,9134611,-18680753,-12275390,-6823424,16752027,-9554046,2794556,-5139017,10220670,-3418917,-7196744,2658963,2772858,-4894837,-4902347,-4457616,1413734,3158724,1481721,-3268933,-852407,2357096,
16716299,-6039883,3765566,-197011,-93844647,-38937478,-679478,11509422,148300350,138456641,8517719,7326033,163901533,-351240071,-165016973,-771318584,-1252006834,935950647,10754019,-62280922,994056407,102917864,-334579175,-47549353,-1139475,52574741,163927910,25067596,-21686227,-130392586,-84023639,-59432723,59646108,42009970,1106536,-22213204,-9221407,-243777,50612920,84199764,113412331,-54823955,20240297,-32110974,-107166987,49134635,-58172048,-30452552,-55044318,-2862388,-46079281,-16453136,-14119176,15061049,26659679,12984554,1793744,-5888985,-27860120,-15287703,10210072,5078342,-8897559,-15887178,-4530349,3055387,-5214937,-9252348,-120425,-3964225,2117976,9963973,1632430,2792282,7617606,-2630779,3464073,4817562,-4367599,-1748477,
-2001324,317927,-871733,-4299998,-705111,3648861,10859725,-7162491,1632643,279708,2038480,-16043982,-6601406,-9919388,-52561572,33583215,29334762,23152387,-759052836,-1977576649,-7663281,-228599600,130556455,47857211,17806982,-90051690,16022304,1993719,12200340,5819516,2287585,-4850290,-18425117,18709464,-3060810,-4104875,3884279,-10917929,43904747,-21025760,-8739358,15344036,8916650,-12970229,10897970,-706432,5830827,-24708759,18306754,-17944559,-1917487,10832890,13154721,-2277801,8024837,3844392,19806322,-5474222,-7077079,3363685,-2164141,2499128,-460940,3960520,-1884780,-15866,5036633,-1037731,-2541779,514196,-974535,690591,2169289,1172426,-923147,1568784,1805127,-1601016,-1005788,242873,
2626030,-1497784,7152998,-4091187,-28249,-3149710,-39210079,16309944,1565844,-158320,-58691182,38558581,14311524,14710150,-108025974,112489019,-108591070,16603831,1751576616,-781276833,-323849038,743705449,-274069652,86396358,-244298471,132901046,-15611237,-4281664,-6012354,-7853269,-6057566,5824030,-16420057,58549865,-13876357,12716259,-18249117,-47874177,56580252,-78016703,45358362,-70135028,-55708794,23826474,-3820108,4813445,-9446224,64020519,-34233975,14346924,4798756,-4373764,12375082,-15971113,36421284,-16690770,-20674296,-1213830,-2055420,15688562,10336258,-3734649,-5364737,7000641,-9302135,-1761482,-10006252,2259982,852003,-2068157,-3427932,1380157,3305726,3790207,-5115835,-4044416,-2020245,3275180,824128,996252,
